Starlight-Intelligence-System	agent/codex/music-rights-foundation
agentic-ops	agent/codex/activate-observability-fleet
agentic-ops	agent/codex/activate-platform-architecture
agentic-ops	agent/codex/empire-registry-foundation
agentic-ops	agent/codex/media-deploy-hardening
agentic-ops	agent/codex/media-platform
agentic-ops	agent/codex/media-source-map
agentic-ops	agent/codex/observability-v1
ai-architect-academy	agent/claude/academy-site
claude-code-config	codex/private-license-finish-20260827
frankx-strategy	agent/hermes/gencreator-firstrun-20260823
frankx-strategy	codex/frankx-identity-strategy
frankx-strategy	codex/private-ip-boundary-20260827
frankx.ai-vercel-website	agent/claude/frontend-excellence-20260811-backup
starlight-swarm	agent/hermes/runtime-hardening-20260809
starlight-swarm	agent/hermes/starlight-hand-openfang-pilot-clean
starlight-swarm	claude/add-mit-license-jjw5kg
starlight-swarm	claude/agentic-repos-audit-68tqqv
starlight-swarm	claude/benevolent-ai-agentic-swarms-a1pmlp
starlight-swarm	claude/frankx-book-github-redesign-jjw5kg
starlight-swarm	claude/ocean-intelligence-repo-depth-z5491l
starlight-swarm	claude/starlight-multiagent-validation-gxd3bp
starlight-swarm	claude/website-skills-cloud-setup-qer2jh
